legacy_node_id,node_id,pubchem_id,status
"compound::3,7,11-Trimethyl-1-dodecanol",compound::138824,138824,unique
"compound::3,7,4'-Trihydroxyflavone",compound::5281611,5281611,unique
"compound::3,7-Dimethyl-1-octanol",compound::7792,7792,unique
"compound::3,7-Dimethyloctane-1,7-diol",compound::249494,249494,unique
compound::3-(2-Furyl)acrolein,compound::1549521,1549521,unique
compound::3-(Methylthio)-1-hexanol,compound::65413,65413,unique
compound::3-(Methylthio)propionaldehyde,compound::18635,18635,unique
compound::3-(Methylthio)propyl acetate,compound::85519,85519,unique
compound::3-(Methylthio)propyl isothiocyanate,compound::62351,62351,unique
"compound::3-Acetyl-2,5-dimethylfuran",compound::61527,61527,unique
compound::3-Acetylpyridine,compound::9589,9589,unique
compound::3-Butenyl isothiocyanate,compound::76922,76922,unique
compound::3-Carene,compound::26049,26049,unique
compound::3-Decanol,compound::519158,519158,unique
compound::3-Decanone,compound::13576,13576,unique
"compound::3-Ethyl-2,5-dimethylpyrazine",compound::25916,25916,unique
compound::3-Ethyl-o-xylene,compound::13621,13621,unique
compound::3-Ethylpyridine,compound::10823,10823,unique
compound::3-Heptanol,compound::11520,11520,unique
compound::3-Heptanone,compound::7802,7802,unique
compound::3-Hepten-2-One,compound::5364578,5364578,unique
compound::3-Hexanol,compound::12178,12178,unique
compound::3-Hexanone,compound::11509,11509,unique
compound::3-Hexenal,compound::643139,643139,unique
"compound::3-Hexenoic acid, methyl ester",compound::5362782,5362782,unique
compound::3-Hydroxy-2-Pentanone,compound::62484,62484,unique
compound::3-Hydroxy-5-methyl-2-hexanone,compound::11815386,11815386,unique
compound::3-Hydroxypyruvic acid,compound::964,964,unique
compound::3-Isobutylpyridine,compound::61715,61715,unique
compound::3-Mercapto-2-methylpentanal,compound::527435,527435,unique
compound::3-Mercapto-3-methyl-1-butanol,compound::520682,520682,unique
compound::3-Mercapto-3-methylbutyl formate,compound::526487,526487,unique
compound::3-Methoxybenzaldehyde,compound::11569,11569,unique
compound::3-Methyl-1-Hexanol,compound::25793,25793,unique
compound::3-Methyl-1-Pentanol,compound::11508,11508,unique
compound::3-Methyl-1-butanol,compound::31260,31260,unique
